tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,Q,redshift,redshift_err
,,,,,5.87730847964e+17,,,21.619478,0.305261,19.418081,0.019645,17.808258,0.008079931,17.216139,0.007818426,16.851768,0.016761,0.26539,0.015838,2.78041388158e+17,319.74534,0.54862732,0.271476,0.000204789,,,,
,,,,,5.87730847964e+17,,,21.637646,0.325303,20.791376,0.064638,20.472404,0.070744,20.300482,0.100395,20.003136,0.260713,0.03007,0.012669,,,,,,,,,
,,,,,5.87730847964e+17,,,22.374125,0.383924,21.408606,0.065775,19.911783,0.030132,19.277428,0.025544,18.800203,0.054066,0.353988,0.079843,,,,,,,,,
,,,,,5.87730847964e+17,,,21.053782,0.174072,20.1849,0.028556,19.345154,0.020525,18.994844,0.0232,18.603714,0.055597,0.286855,0.040152,,,,,,,,,
,,,,,5.87730847964e+17,,,21.277651,0.169024,20.406343,0.032838,19.40288,0.021893,18.978334,0.025676,18.622398,0.053929,0.263853,0.042062,,,,,,,,,
,,,,,5.87730847964e+17,,,23.388229,0.874999,21.459206,0.070101,20.006197,0.028344,19.350378,0.026326,19.15304,0.073936,0.22256,0.025381,,,,,,,,,
,,,,,5.87730847964e+17,,,22.431253,0.506394,21.074078,0.062833,19.615086,0.025317,19.028038,0.024919,18.586208,0.056431,0.269883,0.051644,,,,,,,,,
,,,,,5.87730847964e+17,,,25.152229,1.504763,21.833858,0.105837,20.181686,0.035677,19.70586,0.038683,19.04579,0.073193,0.28177,0.026371,,,,,,,,,
,,,,,5.87730847964e+17,,,22.509113,0.402102,21.30925,0.057312,19.874456,0.025222,19.326353,0.024935,18.829266,0.051685,0.29017,0.077494,,,,,,,,,
,,,,,5.87730847964e+17,,,24.080587,1.115573,21.86026,0.081962,20.362854,0.033284,19.798044,0.031593,19.324503,0.069716,0.225172,0.015229,,,,,,,,,
,,,,,5.87730847964e+17,,,22.256014,0.681261,20.124126,0.042854,18.855093,0.020335,18.345095,0.021339,17.923573,0.049352,0.16508,0.009408,,,,,,,,,
,,,,,5.87730847964e+17,,,22.164299,0.34235,21.425104,0.07052,20.001688,0.029594,19.422577,0.029445,19.087685,0.073977,0.314908,0.110323,,,,,,,,,
,,,,,5.87730847964e+17,,,21.817474,0.322474,20.998487,0.063414,20.415651,0.054283,20.038357,0.072143,19.758394,0.173784,0.153212,0.053555,,,,,,,,,
,,,,,5.87730847964e+17,,,22.761894,0.621947,21.628336,0.093479,20.811071,0.065871,20.527988,0.100723,20.243984,0.226356,0.12111,0.07056,,,,,,,,,
,,,,,5.87730847964e+17,,,22.729233,0.503631,21.943569,0.101439,20.777046,0.051037,20.163563,0.049782,19.842983,0.137323,0.318951,0.083206,,,,,,,,,
